Time,x_d,y_d,theta_d,v_,delta_
0,0,0,-0,0.5245404,-0.0599282
0.0500417,0.0262013,-6.87e-05,-0.0052406,0.5245191,-0.059938
0.1000834,0.0523997,-0.0002746,-0.0104824,0.5244552,-0.0599676
0.1501251,0.0785924,-0.0006179,-0.0157269,0.5243488,-0.0600169
0.2001668,0.1047764,-0.0010984,-0.0209752,0.5241998,-0.0600859
0.2502085,0.1309489,-0.0017162,-0.0262288,0.5240083,-0.0601748
0.3002502,0.157107,-0.0024713,-0.0314888,0.5237745,-0.0602836
0.3502919,0.1832479,-0.0033636,-0.0367566,0.5234982,-0.0604124
0.4003336,0.2093687,-0.0043932,-0.0420335,0.5231798,-0.0605613
0.4503753,0.2354664,-0.0055599,-0.0473209,0.5228192,-0.0607303
0.500417,0.2615383,-0.0068638,-0.05262,0.5224165,-0.0609197
0.5504587,0.2875815,-0.0083047,-0.0579321,0.521972,-0.0611296
0.6005004,0.313593,-0.0098828,-0.0632586,0.5214857,-0.0613601
0.6505421,0.3395702,-0.0115979,-0.0686009,0.5209578,-0.0616115
0.7005838,0.36551,-0.01345,-0.0739602,0.5203885,-0.0618839
0.7506255,0.3914096,-0.015439,-0.079338,0.5197779,-0.0621775
0.8006672,0.4172663,-0.0175649,-0.0847355,0.5191264,-0.0624926
0.8507089,0.4430772,-0.0198277,-0.0901543,0.5184341,-0.0628295
0.9007506,0.4688393,-0.0222272,-0.0955956,0.5177011,-0.0631883
0.9507923,0.49455,-0.0247634,-0.1010608,0.5169279,-0.0635694
1.000834,0.5202064,-0.0274362,-0.1065514,0.5161146,-0.0639731
1.0508757,0.5458056,-0.0302456,-0.1120688,0.5152616,-0.0643997
1.1009174,0.5713448,-0.0331914,-0.1176143,0.514369,-0.0648495
1.1509591,0.5968213,-0.0362736,-0.1231896,0.5134373,-0.0653228
1.2010008,0.6222323,-0.0394922,-0.1287959,0.5124668,-0.0658201
1.2510425,0.6475749,-0.042847,-0.1344349,0.5114577,-0.0663418
1.3010842,0.6728463,-0.0463379,-0.1401079,0.5104105,-0.0668882
1.3511259,0.6980439,-0.0499648,-0.1458165,0.5093255,-0.0674597
1.4011676,0.7231648,-0.0537277,-0.1515623,0.5082031,-0.0680569
1.4512093,0.7482062,-0.0576264,-0.1573467,0.5070438,-0.0686802
1.501251,0.7731654,-0.0616608,-0.1631713,0.5058478,-0.06933
1.5512927,0.7980398,-0.0658308,-0.1690377,0.5046158,-0.0700069
1.6013344,0.8228264,-0.0701364,-0.1749475,0.5033481,-0.0707113
1.6513761,0.8475227,-0.0745773,-0.1809024,0.5020452,-0.0714439
1.7014178,0.8721259,-0.0791535,-0.1869039,0.5007076,-0.0722052
1.7514595,0.8966333,-0.0838648,-0.1929537,0.4993359,-0.0729957
1.8015013,0.9210422,-0.0887111,-0.1990536,0.4979304,-0.0738161
1.851543,0.9453499,-0.0936923,-0.2052052,0.4964919,-0.074667
1.9015847,0.9695538,-0.0988082,-0.2114102,0.4950208,-0.075549
1.9516264,0.9936512,-0.1040587,-0.2176704,0.4935177,-0.0764628
2.0016681,1.0176394,-0.1094437,-0.2239876,0.4919833,-0.077409
2.0517098,1.0415159,-0.1149629,-0.2303635,0.4904182,-0.0783884
2.1017515,1.0652779,-0.1206163,-0.2368001,0.4888229,-0.0794016
2.1517932,1.088923,-0.1264037,-0.2432991,0.4871983,-0.0804495
2.2018349,1.1124484,-0.132325,-0.2498625,0.4855448,-0.0815327
2.2518766,1.1358516,-0.1383799,-0.2564921,0.4838634,-0.082652
2.3019183,1.1591301,-0.1445683,-0.2631898,0.4821546,-0.0838083
2.35196,1.1822812,-0.15089,-0.2699577,0.4804193,-0.0850022
2.4020017,1.2053025,-0.1573449,-0.2767977,0.4786582,-0.0862347
2.4520434,1.2281914,-0.1639328,-0.2837118,0.476872,-0.0875066
2.5020851,1.2509454,-0.1706535,-0.290702,0.4750617,-0.0888186
2.5521268,1.2735619,-0.1775069,-0.2977705,0.473228,-0.0901718
2.6021685,1.2960386,-0.1844926,-0.3049192,0.4713719,-0.0915668
2.6522102,1.3183729,-0.1916106,-0.3121504,0.4694942,-0.0930047
2.7022519,1.3405624,-0.1988607,-0.3194662,0.4675957,-0.0944863
2.7522936,1.3626046,-0.2062425,-0.3268686,0.4656775,-0.0960125
2.8023353,1.3844972,-0.2137561,-0.33436,0.4637406,-0.0975841
2.852377,1.4062376,-0.221401,-0.3419426,0.4617858,-0.0992022
2.9024187,1.4278237,-0.2291772,-0.3496185,0.4598142,-0.1008675
2.9524604,1.4492528,-0.2370844,-0.3573901,0.4578269,-0.102581
3.0025021,1.4705228,-0.2451224,-0.3652597,0.4558249,-0.1043436
3.0525438,1.4916313,-0.253291,-0.3732295,0.4538093,-0.106156
3.1025855,1.5125759,-0.2615899,-0.3813019,0.4517811,-0.1080192
3.1526272,1.5333543,-0.270019,-0.3894792,0.4497417,-0.1099341
3.2026689,1.5539644,-0.2785779,-0.3977638,0.4476921,-0.1119013
3.2527106,1.5744037,-0.2872665,-0.4061582,0.4456335,-0.1139217
3.3027523,1.5946701,-0.2960845,-0.4146646,0.4435671,-0.115996
3.352794,1.6147613,-0.3050317,-0.4232855,0.4414943,-0.118125
3.4028357,1.6346752,-0.3141078,-0.4320233,0.4394162,-0.1203093
3.4528774,1.6544095,-0.3233126,-0.4408804,0.4373343,-0.1225494
3.5029191,1.6739621,-0.3326458,-0.4498593,0.4352498,-0.1248459
3.5529608,1.6933307,-0.3421072,-0.4589623,0.433164,-0.1271994
3.6030025,1.7125134,-0.3516965,-0.468192,0.4310785,-0.1296101
3.6530442,1.731508,-0.3614135,-0.4775506,0.4289945,-0.1320783
3.7030859,1.7503124,-0.3712578,-0.4870406,0.4269135,-0.1346044
3.7531276,1.7689245,-0.3812293,-0.4966643,0.4248371,-0.1371883
3.8031693,1.7873424,-0.3913276,-0.5064242,0.4227666,-0.1398301
3.853211,1.8055638,-0.4015524,-0.5163225,0.4207036,-0.1425296
3.9032527,1.823587,-0.4119035,-0.5263615,0.4186497,-0.1452864
3.9532944,1.8414099,-0.4223806,-0.5365435,0.4166063,-0.1481003
4.0033361,1.8590304,-0.4329835,-0.5468707,0.4145751,-0.1509705
4.0533778,1.8764468,-0.4437117,-0.5573453,0.4125577,-0.1538963
4.1034195,1.8936571,-0.4545651,-0.5679693,0.4105556,-0.1568768
4.1534612,1.9106593,-0.4655433,-0.5787447,0.4085704,-0.1599107
4.2035029,1.9274517,-0.476646,-0.5896735,0.4066039,-0.1629966
4.2535446,1.9440324,-0.4878729,-0.6007576,0.4046576,-0.1661329
4.3035863,1.9603995,-0.4992237,-0.6119988,0.4027333,-0.1693178
4.353628,1.9765513,-0.5106982,-0.6233986,0.4008325,-0.1725492
4.4036697,1.9924859,-0.5222959,-0.6349586,0.398957,-0.1758246
4.4537114,2.0082017,-0.5340166,-0.6466803,0.3971083,-0.1791413
4.5037531,2.0236969,-0.5458599,-0.6585649,0.3952882,-0.1824964
4.5537948,2.0389699,-0.5578255,-0.6706135,0.3934982,-0.1858867
4.6038365,2.0540188,-0.5699131,-0.6828273,0.3917401,-0.1893085
4.6538782,2.0688421,-0.5821224,-0.6952068,0.3900155,-0.1927578
4.7039199,2.0834382,-0.594453,-0.7077528,0.3883259,-0.1962305
4.7539616,2.0978054,-0.6069046,-0.7204657,0.386673,-0.1997219
4.8040033,2.1119422,-0.6194768,-0.7333457,0.3850582,-0.2032271
4.854045,2.125847,-0.6321693,-0.7463929,0.3834832,-0.2067408
4.9040867,2.1395183,-0.6449818,-0.7596069,0.3819495,-0.2102574
4.9541284,2.1529546,-0.6579138,-0.7729873,0.3804584,-0.2137708
5.0041701,2.1661544,-0.6709651,-0.7865333,0.3790115,-0.2172749
5.0542118,2.1791163,-0.6841353,-0.800244,0.3776101,-0.2207628
5.1042535,2.1918388,-0.697424,-0.8141181,0.3762554,-0.2242276
5.1542952,2.2043205,-0.7108309,-0.8281539,0.374949,-0.2276621
5.2043369,2.2165601,-0.7243555,-0.8423497,0.3736918,-0.2310587
5.2543786,2.2285562,-0.7379975,-0.8567031,0.3724852,-0.2344096
5.3044204,2.2403075,-0.7517566,-0.8712117,0.3713302,-0.2377067
5.3544621,2.2518128,-0.7656324,-0.8858726,0.3702279,-0.2409417
5.4045038,2.2630707,-0.7796244,-0.9006827,0.3691793,-0.2441061
5.4545455,2.27408,-0.7937323,-0.9156384,0.3681854,-0.2471915
5.5045872,2.2848395,-0.8079558,-0.9307358,0.367247,-0.250189
5.5546289,2.295348,-0.8222943,-0.9459708,0.3663649,-0.2530899
5.6046706,2.3056044,-0.8367476,-0.9613386,0.36554,-0.2558854
5.6547123,2.3156076,-0.8513152,-0.9768344,0.3647729,-0.2585669
5.704754,2.3253564,-0.8659968,-0.992453,0.3640644,-0.2611255
5.7547957,2.3348498,-0.8807918,-1.0081886,0.3634149,-0.263553
5.8048374,2.3440866,-0.8957,-1.0240353,0.3628251,-0.2658408
5.8548791,2.3530661,-0.9107209,-1.0399868,0.3622955,-0.267981
5.9049208,2.361787,-0.9258541,-1.0560365,0.3618266,-0.2699657
5.9549625,2.3702485,-0.9410992,-1.0721774,0.3614188,-0.2717876
6.0050042,2.3784497,-0.9564557,-1.0884024,0.3610725,-0.2734396
6.0550459,2.3863896,-0.9719233,-1.1047039,0.3607882,-0.2749152
6.1050876,2.3940673,-0.9875014,-1.1210742,0.3605662,-0.2762083
6.1551293,2.4014821,-1.0031898,-1.1375052,0.3604069,-0.2773136
6.205171,2.4086331,-1.018988,-1.1539887,0.3603105,-0.278226
6.2552127,2.4155195,-1.0348954,-1.1705163,0.3602775,-0.2789414
6.3052544,2.4221406,-1.0509118,-1.1870794,0.3603082,-0.2794562
6.3552961,2.4284957,-1.0670365,-1.2036693,0.3604029,-0.2797676
6.4053378,2.4345839,-1.0832693,-1.2202771,0.3605619,-0.2798735
6.4553795,2.4404048,-1.0996097,-1.2368938,0.3607856,-0.2797725
6.5054212,2.4459576,-1.1160572,-1.2535105,0.3610743,-0.279464
6.5554629,2.4512417,-1.1326113,-1.2701182,0.3614284,-0.2789482
6.6055046,2.4562566,-1.1492716,-1.2867077,0.3618481,-0.2782261
6.6555463,2.4610016,-1.1660377,-1.30327,0.3623339,-0.2772994
6.705588,2.4654763,-1.182909,-1.3197964,0.3628861,-0.2761706
6.7556297,2.4696803,-1.1998852,-1.3362777,0.363505,-0.2748429
6.8056714,2.4736129,-1.2169657,-1.3527055,0.364191,-0.2733203
6.8557131,2.4772738,-1.2341502,-1.3690709,0.3649443,-0.2716073
6.9057548,2.4806626,-1.251438,-1.3853657,0.3657654,-0.2697092
6.9557965,2.4837789,-1.2688288,-1.4015815,0.3666544,-0.267632
7.0058382,2.4866224,-1.286322,-1.4177104,0.3676116,-0.265382
7.0558799,2.4891928,-1.3039172,-1.4337446,0.3686373,-0.2629662
7.1059216,2.4914897,-1.321614,-1.4496765,0.3697317,-0.260392
7.1559633,2.4935129,-1.3394117,-1.465499,0.3708948,-0.2576673
7.206005,2.4952623,-1.3573099,-1.481205,0.3721269,-0.2548003
7.2560467,2.4967375,-1.3753082,-1.496788,0.3734278,-0.2517994
7.3060884,2.4979385,-1.3934061,-1.5122416,0.3747976,-0.2486734
7.3561301,2.4988652,-1.4116029,-1.5275599,0.3762363,-0.2454313
7.4061718,2.4995173,-1.4298983,-1.5427372,0.3777436,-0.242082
7.4562135,2.4998949,-1.4482918,-1.5577682,0.3793193,-0.2386346
7.5062552,2.4999979,-1.4667828,-1.5726479,0.3809631,-0.2350984
7.5562969,2.4998262,-1.4853708,-1.5873717,0.3826746,-0.2314824
7.6063386,2.49938,-1.5040553,-1.6019354,0.3844534,-0.2277957
7.6563803,2.4986592,-1.5228359,-1.6163351,0.386299,-0.2240472
7.706422,2.497664,-1.5417119,-1.6305671,0.3882106,-0.2202457
