Time,x_d,y_d,theta_d,v_d,delta_
0,0,0,0,1,0
0.526316,0.526316,0,0,1,0
1.052632,1.052632,0,0,1,0
1.578947,1.578947,0,0,1,0
2.105263,2.105263,0,0,1,0
2.631579,2.631579,0,0,1,0
3.157895,3.157895,0,0,1,0
3.684211,3.684211,0,0,1,0
4.210526,4.210526,0,0,1,0
4.736842,4.736842,0,0,1,0
5.263158,5.263158,0,0,1,0
5.789474,5.789474,0,0,1,0
6.315789,6.315789,0,0,1,0
6.842105,6.842105,0,0,1,0
7.368421,7.368421,0,0,1,0
7.894737,7.894737,0,0,1,0
8.421053,8.421053,0,0,1,0
8.947368,8.947368,0,0,1,0
9.473684,9.473684,0,0,1,0
10,10,0,0,1,0
