Time,x_d,y_d,theta_d,v_d,delta_
0,0,0,0,1,0
0.53913,0.6,0,0,1,0
1.078261,1.2,0,0,1,0
1.617391,1.8,0,0,1,0
2.156522,2.4,0,0,1,0
2.695652,3,0,0,1,0
3.234783,3.6,0,0,1,0
3.773913,3.6,0,-0,0.961143,0.197396
4.313043,4.174025,0.114181,0.392699,0.961143,0.197396
4.852174,4.66066,0.43934,0.785398,0.961143,0.197396
5.391304,4.985819,0.925975,1.178097,0.961143,0.197396
5.930435,5.1,1.5,1.570796,0.961143,0.197396
6.469565,5.1,1.5,1.570796,0.961143,0.197396
7.008696,4.985819,2.074025,1.963495,0.961143,0.197396
7.547826,4.66066,2.56066,2.356194,0.961143,0.197396
8.086957,4.174025,2.885819,2.748894,0.961143,0.197396
8.626087,3.6,3,3.141593,0.961143,0.197396
9.165217,3.6,3,3.141593,1,-0
9.704348,3,3,3.141593,1,-0
10.243478,2.4,3,3.141593,1,-0
10.782609,1.8,3,3.141593,1,-0
11.321739,1.2,3,3.141593,1,-0
11.86087,0.6,3,3.141593,1,-0
12.4,-0,3,3.141593,1,-0
